coalition,value
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",0.9978724718093872
"(0,)",0.0018511515809223056
"(1,)",0.0009311272297054529
"(2,)",0.3652653396129608
"(3,)",0.0001205162116093561
"(4,)",0.05185765027999878
"(5,)",0.0020360457710921764
"(6,)",0.005054413340985775
"(7,)",0.0015243228990584612
"(8,)",0.0032446901313960552
"(9,)",0.023791739717125893
"(0, 1)",0.0016710005002096295
"(0, 2)",0.4347432851791382
"(0, 3)",0.0002248727105325088
"(0, 4)",0.08552614599466324
"(0, 5)",0.0033911315258592367
"(0, 6)",0.009236966259777546
"(0, 7)",0.003012682544067502
"(0, 8)",0.0058437492698431015
"(0, 9)",0.03689466416835785
"(1, 2)",0.4038670063018799
"(1, 3)",0.00011092697241110727
"(1, 4)",0.047922972589731216
"(1, 5)",0.0019602137617766857
"(1, 6)",0.004444758407771587
"(1, 7)",0.0013946075923740864
"(1, 8)",0.002911970019340515
"(1, 9)",0.021820494905114174
"(2, 3)",0.1102667897939682
"(2, 4)",0.861517071723938
"(2, 5)",0.40244778990745544
"(2, 6)",0.6962757706642151
"(2, 7)",0.47861284017562866
"(2, 8)",0.5366392135620117
"(2, 9)",0.8041946291923523
"(3, 4)",0.007257453631609678
"(3, 5)",0.00026125292060896754
"(3, 6)",0.000616946374066174
"(3, 7)",0.00018002292199525982
"(3, 8)",0.0003965139330830425
"(3, 9)",0.003066434059292078
"(4, 5)",0.08599978685379028
"(4, 6)",0.19741888344287872
"(4, 7)",0.07608314603567123
"(4, 8)",0.13496479392051697
"(4, 9)",0.4981016218662262
"(5, 6)",0.010064802132546902
"(5, 7)",0.003453588578850031
"(5, 8)",0.007058900315314531
"(5, 9)",0.03896747902035713
"(6, 7)",0.007204197812825441
"(6, 8)",0.015541858039796352
"(6, 9)",0.10580574721097946
"(7, 8)",0.004695982206612825
"(7, 9)",0.035311259329319
"(8, 9)",0.06689230352640152
"(0, 1, 2)",0.5038188099861145
"(0, 1, 3)",0.0002047495945589617
"(0, 1, 4)",0.07964355498552322
"(0, 1, 5)",0.0032908678986132145
"(0, 1, 6)",0.007909191772341728
"(0, 1, 7)",0.0027522663585841656
"(0, 1, 8)",0.005172007717192173
"(0, 1, 9)",0.034034207463264465
"(0, 2, 3)",0.15658621490001678
"(0, 2, 4)",0.8885359168052673
"(0, 2, 5)",0.4538131058216095
"(0, 2, 6)",0.7643174529075623
"(0, 2, 7)",0.5596767663955688
"(0, 2, 8)",0.599963903427124
"(0, 2, 9)",0.8400358557701111
"(0, 3, 4)",0.013108426705002785
"(0, 3, 5)",0.00045317510375753045
"(0, 3, 6)",0.0011740400223061442
"(0, 3, 7)",0.00036884346627630293
"(0, 3, 8)",0.0007410032558254898
"(0, 3, 9)",0.005013666581362486
"(0, 4, 5)",0.12678471207618713
"(0, 4, 6)",0.30277392268180847
"(0, 4, 7)",0.1322670727968216
"(0, 4, 8)",0.21030578017234802
"(0, 4, 9)",0.5957061052322388
"(0, 5, 6)",0.016902124509215355
"(0, 5, 7)",0.006312218029052019
